source,Title,Author Keywords,Source title,DOI,Abstract,Document Type,Publication Year,title_norm,_doi_norm,llm_decision,llm_reason,score_relevance_valve,score_ml_strength,score_vs_pid,score_validation,score_industrial_similarity,score_peer_review,score_data_code,score_overall,ml_technique,control_task,domain,metrics,doi_confirmed
scopus,Stiction-model-based re-tuning of PI controller for industrial process control loops,control valves; Optimization; PID control; process control; process models,"SICE Journal of Control, Measurement, and System Integration",10.1080/18824889.2023.2295063,,,,stictionmodelbased retuning of pi controller for industrial process control loops,10.1080/18824889.2023.2295063,Exclude,Focuses on PID control without ML intervention,0,0,2,0,2,1,0,9,,control loops,industrial process control,not specified,True
scopus,Comparative Analysis of PID and Robust IMC Control in Cascaded Processes With Time-Delay,delay systems; internal model control; Process control; proportional-integral-derivative (PID) tuning; robustness; sliding mode control,IEEE Access,10.1109/ACCESS.2024.3467922,,,,comparative analysis of pid and robust imc control in cascaded processes with timedelay,10.1109/access.2024.3467922,Exclude,Focuses on PID and IMC control without ML techniques or relevant industrial applications.,0,0,2,0,0,1,0,5,None,Process control,Other,Robustness,True
scopus,Parameters’ Optimization in Compressed Air Pressure Process Using Hybrid Fmin–GA-Based PID and Fractional Order Internal Model Controller,Compressed air pressure system; Genetic algorithm; IMC and MPC; Nonlinear system; PID controller,IETE Journal of Research,10.1080/03772063.2022.2139297,,,,parameters optimization in compressed air pressure process using hybrid fmingabased pid and fractional order internal model controller,10.1080/03772063.2022.2139297,Exclude,The study focuses on PID and optimization techniques without ML interventions relevant to the PICO question.,0,0,2,0,0,1,0,5,None,Pressure control,Other,None,True
scopus,Advanced Study: Improving the Quality of Cooling Water Towers’ Conductivity Using a Fuzzy PID Control Model,cooling water towers; electrical conductivity; fuzzy PID control; motor control; PID control,Mathematics,10.3390/math12203296,,,,advanced study improving the quality of cooling water towers conductivity using a fuzzy pid control model,10.3390/math12203296,Exclude,"The study focuses on fuzzy PID control for cooling water towers, not on ML-based control or valve applications.",0,0,1,0,0,1,0,3,Fuzzy PID,Not applicable,Cooling water systems,Not applicable,True
scopus,Development of rotary straw burying and returning navigation system based on variable-gain single-neuron PID; [基于变增益单神经元PID的秸秆旋埋还田导航系统研制],Agricultural machinery; Controller; Dual-antenna RTK-GNSS; Electronic-control proportional hydraulic system; Navigation; Rotary burying and returning; Straw; Variable-gain single-neuron PID,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,10.11975/j.issn.1002-6819.2021.05.004,,,,development of rotary straw burying and returning navigation system based on variablegain singleneuron pid 基于变增益单神经元pid的秸秆旋埋还田导航系统研制,10.11975/j.issn.1002-6819.2021.05.004,Exclude,"The record focuses on agricultural machinery and a PID controller, not on ML-based control for industrial valve applications.",0,0,1,0,0,1,0,3,Single-neuron PID,Navigation system control,Agricultural machinery,Not applicable,True
scopus,Implementation of ANN-Based Auto-Adjustable for a Pneumatic Servo System Embedded on FPGA,control; embedded; FPGA; neural network; neuro-PID; pneumatic actuators; robot arm,Micromachines,10.3390/mi13060890,,,,implementation of annbased autoadjustable for a pneumatic servo system embedded on fpga,10.3390/mi13060890,Exclude,Does not focus on industrial valve control or relevant outcomes.,0,3,0,0,0,1,0,10,ANN/Neuro-PID,pneumatic actuator control,robotics,not specified,True
WoS,Reinforcement learning for control of valves,,MACHINE LEARNING WITH APPLICATIONS,10.1016/j.mlwa.2021.100030,,,,reinforcement learning for control of valves,10.1016/j.mlwa.2021.100030,Exclude,Lacks sufficient detail in the abstract to assess relevance and outcomes.,0,3,0,0,0,1,0,10,Reinforcement Learning,Valve control,Industrial processes,Not specified,True
scopus,Automatic oscillations detection and classification of control loop using generalized machine learning algorithms,control valve; machine learning; model free; Oscillation detection; stiction,Transactions of the Institute of Measurement and Control,10.1177/01423312221118129,,,,automatic oscillations detection and classification of control loop using generalized machine learning algorithms,10.1177/01423312221118129,Exclude,Does not focus on valve control performance metrics or direct comparison with PID controllers.,0,2,0,0,0,1,0,7,generalized machine learning algorithms,oscillation detection,control systems,not specified,True
scopus,Control valve stiction detection using Markov transition field and deep convolutional neural network,convolutional neural network; machine learning; Markov transition field; stiction detection; transfer learning,Canadian Journal of Chemical Engineering,10.1002/cjce.25054,,,,control valve stiction detection using markov transition field and deep convolutional neural network,10.1002/cjce.25054,Exclude,Does not focus on valve control performance metrics or ML interventions relevant to the PICO question.,0,2,0,0,0,1,0,7,Deep Convolutional Neural Network,Stiction detection,Other,Not applicable,True
scopus,Enhanced classification of hydraulic testing of directional control valves with synthetic data generation,Conditional tabular generative adversarial networks; Machine learning; Predictive quality; Quality control; Semi-supervised learning; Tabular variational autoencoder,Production Engineering,10.1007/s11740-023-01204-8,,,,enhanced classification of hydraulic testing of directional control valves with synthetic data generation,10.1007/s11740-023-01204-8,Exclude,The record does not focus on valve control or performance metrics relevant to the PICO question.,0,1,0,0,0,1,0,4,"Conditional tabular generative adversarial networks, semi-supervised learning","Not specified, but related to quality control","Quality control, not directly related to valve control","Not specified, focuses on predictive quality",True
